CourseID ,CourseName                                     ,CourseDescription                                                                                                                                                               ,CreationDate ,Author             ,Image        ,Quiz
       1 ,De-engineered methodical system engine         ,Reduce rock by road son bring note. People network film forward study voice also. Physical share available place success. Each respond claim call in red.                       ,2023-01-19   ,Hector White       ,image_49.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
       2 ,Function-based 3rdgeneration functionalities   ,"Return past she here tough rich. Process century wide white piece. Food outside production artist.
                                                          Remember produce there field. Network car often reveal involve focus fear."                                                                                                     ,2021-06-13   ,Wyatt Caldwell     ,image_94.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
       3 ,Managed foreground help-desk                   ,"Religious apply do not kind manage. Black do first about election interest week. Television along others someone difference energy.
                                                          Dog goal must. Allow none cover recently."                                                                                                                                      ,2020-08-02   ,Ronald Yates       ,image_77.jpg ,
       4 ,Reactive leadingedge circuit                   ,Off enter shake. Style stand majority every. Financial enough act performance former report mission TV.                                                                         ,2022-03-13   ,Robert Johnson     ,image_36.jpg ,
       5 ,Seamless foreground framework                  ,"Less everybody hold very fact. Country phone fill indeed can possible. Continue defense may probably hand.
                                                          From bag subject lose process. Event cut bag vote man serious."                                                                                                                 ,2024-03-29   ,Jacqueline Jensen  ,image_9.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
       6 ,Configurable zero-defect ability               ,"Good across economy finish down. Game billion sport history chair might.
                                                          Most his item knowledge direction course music. Data full gas. Amount week create role evening."                                                                                ,2021-07-16   ,Nicole Lee         ,image_10.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
       7 ,Integrated heuristic projection                ,"Too administration sell. Green consumer government leave.
                                                          Hotel writer own. Feel situation property actually peace charge teach role. Impact concern bar pick attention condition."                                                       ,2022-04-16   ,Chad Cain          ,image_91.jpg ,
       8 ,Phased encompassing info-mediaries             ,Special feeling ten up no. Exist compare authority painting data magazine. Collection able popular story occur by.                                                              ,2022-11-27   ,Timothy Howell     ,image_80.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
       9 ,Public-key clear-thinking approach             ,Say compare board college position whatever news. Night live dream teach. Space class wall teach American partner. Drop attention lose.                                         ,2022-11-09   ,Bobby Nunez        ,image_7.jpg  ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
      10 ,Profit-focused even-keeled hierarchy           ,"Job ten begin be cause significant mission. Economy reality support. Necessary well measure.
                                                          Teacher best than maintain gun red method. Market child American anyone class. Let decade charge."                                                                              ,2021-03-23   ,Timothy Howell     ,image_39.jpg ,
      11 ,Pre-emptive content-based budgetary management ,Positive foot movie spring crime test specific. Many so collection six push evidence floor. Benefit city make child couple as first. Knowledge check money join.                ,2020-03-17   ,Drew Bond          ,image_33.jpg ,"{'questions': [{'question': 'Sample question 1', 'options': ['a', 'b', 'c', 'd'], 'answer': 'a'}, {'question': 'Sample question 2', 'options': ['a', 'b', 'c', 'd'], 'answer': 'b'}]}"
