ModuleID,ModuleName,ModuleDescription,CourseID
18,Introduction to Microsoft Azure,"<h4><strong>Overview of Cloud Computing</strong></h4><ul><li><strong>What is Cloud Computing?</strong><ul><li>Explanation of the core concepts of cloud computing and how it has revolutionized the IT landscape.</li></ul></li><li><strong>Types of Cloud Services</strong>:<ul><li><strong>IaaS (Infrastructure as a Service)</strong>: Provides virtualized computing resources.</li><li><strong>PaaS (Platform as a Service)</strong>: Allows developers to build applications without worrying about infrastructure.</li><li><strong>SaaS (Software as a Service)</strong>: Ready-to-use software solutions delivered over the internet.</li></ul></li></ul><h4><strong>Getting Started with Azure</strong></h4><ul><li><strong>Azure Portal</strong>:<ul><li>Navigating the <strong>Azure Portal</strong>, understanding dashboard, and key features.</li></ul></li><li><strong>Creating an Azure Account</strong>:<ul><li>Step-by-step guide to signing up for a free Azure account.</li></ul></li></ul>",6
19,Core Azure Services,"<h4><strong>Compute Services</strong></h4><ul><li><strong>Virtual Machines (VMs)</strong>:<ul><li>How to create, configure, and manage Azure VMs.</li></ul></li><li><strong>App Services</strong>:<ul><li>Hosting and scaling web applications with Azure App Services.</li></ul></li></ul><h4><strong>Storage Services</strong></h4><ul><li><strong>Azure Blob Storage</strong>:<ul><li>Understanding Azure’s object storage for massive data needs.</li></ul></li><li><strong>Azure Files</strong>:<ul><li>Creating managed file shares in the cloud.</li></ul></li></ul>",6
13,Read Before You Start!,"<h4><strong>Introduction</strong></h4><p>Before diving into JavaScript concepts like arrow functions, loops, and event handling, it's important to have a clear understanding of some basic principles. This section serves as a primer to help you prepare for the concepts that follow.</p><h4><strong>Why Preparation is Important</strong></h4><ul><li><strong>Understanding the Basics</strong>: JavaScript is a versatile language that can sometimes behave in unexpected ways if you're not familiar with its nuances. Taking the time to familiarize yourself with foundational concepts ensures a smoother learning experience.</li><li><strong>Contextual Awareness</strong>: JavaScript is often used alongside HTML and CSS. A good grasp of how these technologies work together will help you see the bigger picture.</li><li><strong>Avoiding Common Pitfalls</strong>: Before diving in, it's helpful to know some common mistakes beginners make, such as misunderstanding scope or the behavior of asynchronous functions.</li></ul>",5
14,Arrow Functions,"<h3><strong>Arrow Functions</strong></h3><h4><strong>What are Arrow Functions?</strong></h4><p>Arrow functions were introduced in ES6 as a concise way to write functions. They are syntactically shorter and offer specific advantages, especially in dealing with the this keyword.</p><h4><strong>Syntax of Arrow Functions</strong></h4><ul><li><p>Traditional Function:</p><p><i>function sayHello() {
 &nbsp;return ""Hello!"";
}</i>
</p></li><li><p>Arrow Function:</p><p><i>const sayHello = () =&gt; ""Hello!"";</i>
</p></li></ul><h4><strong>Advantages of Arrow Functions</strong></h4><ul><li><strong>Concise Syntax</strong>: The code is shorter, especially when dealing with one-liners.</li><li><strong>No Binding of this</strong>: Arrow functions do not bind their own this, which makes them more predictable in certain contexts, such as event handlers and object methods.</li><li><strong>Implicit Return</strong>: When there is only one expression in the function body, the return keyword is implied.</li></ul>",5
15,Iteration: The for Loop,"<h4><strong>Introduction to Loops</strong></h4><p>In programming, loops allow you to run a block of code multiple times. JavaScript provides several types of loops, but the most common and versatile is the for loop.</p><h4><strong>Syntax of the for Loop</strong></h4><p>The for loop consists of three parts: initialization, condition, and iteration.</p><p><i>for (let i = 0; i &lt; 5; i++) {
 &nbsp;console.log(i);
}</i>
</p><h4><strong>Key Components</strong></h4><ul><li><strong>Initialization</strong>: let i = 0; sets up a counter variable.</li><li><strong>Condition</strong>: i &lt; 5; checks if the loop should continue running.</li><li><strong>Iteration</strong>: i++ increments the counter by 1 after each loop iteration.</li></ul><h4><strong>Use Cases</strong></h4><ul><li><p><strong>Array Iteration</strong>: You can use for loops to iterate over arrays and perform operations on each item.</p><p><i>const fruits = [""apple"", ""banana"", ""cherry""];
for (let i = 0; i &lt; fruits.length; i++) {
 &nbsp;console.log(fruits[i]);
}</i>
</p></li></ul>",5
16,"Attributes, Classes and IDs","<h4><strong>Understanding HTML Attributes</strong></h4><p>HTML elements have attributes that provide additional information. Attributes are always defined in the opening tag and usually come in name-value pairs.</p><h4><strong>Common Attributes</strong></h4><ul><li><p><strong>id</strong>: Provides a unique identifier for an HTML element.</p><p>&lt;div id=""uniqueElement""&gt;&lt;/div&gt;
</p></li><li><p><strong>class</strong>: Allows you to group elements for styling and behavior.</p><p>&lt;div class=""common-class""&gt;&lt;/div&gt;
</p></li></ul><h4><strong>Using Classes vs IDs</strong></h4><ul><li><strong>IDs</strong> are unique within a document, meaning an element can only have one id value. They are often used for targeting specific elements.</li><li><strong>Classes</strong> can be used multiple times across various elements, which makes them ideal for styling or applying common behaviors to groups of elements.</li></ul><h4><strong>Selecting Elements with JavaScript</strong></h4><ul><li><p>To select by id:</p><p>document.getElementById(""uniqueElement"");
</p></li><li><p>To select by class:</p><p>document.getElementsByClassName(""common-class"");
</p></li></ul>",5
17,Handling Click Events,"<h2><strong>Handling Click Events</strong></h2><h4><strong>Introduction to Events</strong></h4><p>In JavaScript, events are actions that occur when the user interacts with the web page, such as clicks, mouse movements, or keyboard input. Click events are among the most commonly used in web development.</p><h4><strong>Adding a Click Event Listener</strong></h4><p>You can handle clicks by adding an event listener to an HTML element.</p><p>const button = document.getElementById(""myButton"");
button.addEventListener(""click"", () =&gt; {
 &nbsp;alert(""Button was clicked!"");
});
</p><h4><strong>Using Event Object</strong></h4><p>When a click event occurs, the event object is passed to the event handler. This object contains useful information such as the clicked element and mouse position.</p><p><i>button.addEventListener(""click"", (event) =&gt; {
 &nbsp;console.log(event.target); // Logs the clicked element
});</i>
</p><h4><strong>Preventing Default Behavior</strong></h4><p>In some cases, you may want to prevent the default behavior of an element, such as stopping a form from submitting or preventing a link from navigating.</p><p>const link = document.getElementById(""myLink"");
link.addEventListener(""click"", (event) =&gt; {
 &nbsp;event.preventDefault(); // Prevents the link from navigating
 &nbsp;console.log(""Link click prevented"");
});</p>",5
20,Networking in Azure,"<h4><strong>Azure Virtual Networks (VNet)</strong></h4><ul><li><strong>Creating and Managing Virtual Networks</strong>:<ul><li>Understand subnets, network security groups, and routing.</li></ul></li></ul><h4><strong>Azure VPN Gateway</strong></h4><ul><li><strong>Connecting Networks</strong>:<ul><li>Setting up VPN gateways to establish secure connections between on-premises and cloud environments.</li></ul></li></ul><h4><strong>Load Balancing and Traffic Management</strong></h4><ul><li><strong>Azure Load Balancer</strong>:<ul><li>Distributing incoming traffic across multiple VMs for high availability.</li></ul></li></ul>",6
21,Azure Security and Identity Management,<h4><strong>Azure Active Directory (AAD)</strong></h4><ul><li><strong>User and Group Management</strong>:<ul><li>Configuring Azure Active Directory for centralized user management.</li></ul></li></ul><h4><strong>Role-Based Access Control (RBAC)</strong></h4><ul><li><strong>Permissions and Security</strong>:<ul><li>Defining roles and permissions using RBAC to control access.</li></ul></li></ul><h4><strong>Azure Security Center</strong></h4><ul><li><strong>Monitoring and Protecting Resources</strong>:<ul><li>Configuring Azure Security Center to identify security threats and vulnerabilities.</li></ul></li></ul>,6
22,"Monitoring, Automation, and Cost Management","<h4><strong>Azure Monitor and Alerts</strong></h4><ul><li><strong>Setting up Monitoring</strong>:<ul><li>Configuring Azure Monitor to track the performance and health of your resources.</li></ul></li></ul><h4><strong>Azure Automation</strong></h4><ul><li><strong>Automating Tasks</strong>:<ul><li>Creating automated workflows and scripts to handle repetitive tasks.</li></ul></li></ul><h4><strong>Cost Management and Billing</strong></h4><ul><li><strong>Tracking Expenses</strong>:<ul><li>Tools for cost management and forecasting, setting up budgets to control Azure spending.</li></ul></li></ul>",6
